maker,name,price
ガレリア GALLERIA,ゲーミングデスクトップパソコン/Core i7-14700F/RTX 4060Ti/メモリ 32GB/SSD1TB/Windows 11 Home XRR7F46T31R41,"￥289,980"
HP,ゲーミングデスクトップパソコン/Victus 15L Gaming TG02-1000 G1モデル/Core i5-13400F/RTX 4060/メモリ 16GB/SSD 512GB/Windows 11 Home/マイカシルバー 8L9K7PA-AAAE,"￥186,240"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG Strix G13CHR/Core i5-14400F/RTX 3050/メモリ 16GB/SSD 512GB/Windows 11 Home/エクストリームダークグレー G13CHR-51440F127W,"￥188,800"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG Strix G13CHR/Core i5-14400F/RTX 4060/メモリ 32GB/SSD 1TB/Windows 11 Home/エクストリームダークグレー G13CHR-51440F158W,"￥239,800"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG Strix G13CHR/Core i7-14700F/RTX 4060 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home/エクストリームダークグレー G13CHR-71470F150W,"￥299,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Trident AS 14NUC7-681JP/Core i7-14700F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home TRIDENTAS-14NUC7-681JP,"￥283,270"
デル DELL,ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4070/メモリ 32GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック DA90-DWLBC,"￥414,800"
レノボ･ジャパン Lenovo,ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business2021/ブラック 90VH004LJP,"￥178,640"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/Core i7-14700KF/RTX 4070SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home ZRR7K47S31R41,"￥379,980"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce GTX 1650/Windows 11 Home DGI5G1BYC25DNHB3,"￥189,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4070 SUPER/Windows 11 Home DGI7G7SYC25DNHW3,"￥324,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI5G60YC25DNHW3,"￥234,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/MAG Codex 6 14NUC7-066JP/Core i7-14700F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home MAGCODEX6-14NUC7-066JP,"￥239,800"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 64GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI7G60YC45DNHB3,"￥284,800"
デル DELL,ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4060/メモリ 16GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック DA80-DWLBC,"￥329,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce GTX 1650/Windows 11 Home DGI5G1BYC25DNHW3,"￥189,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Core i7-14700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4080 SUPER/Windows 11 Pro TRIDENTX2-14NUG7-440JP,"￥549,590"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI7G60YC25DNHB3,"￥264,800"
MSI エムエスアイ,ミドルハイクラスゲーミングPC/Core i7-14700KF/GeForce RTX 4070 Ti/メモリ 32GB/SSD 1TB/Windows 11 Pro Trident X2 14NUF7-293JP,"￥437,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Trident AS 14NUC5-682JP/Core i5-14400F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home TRIDENTAS-14NUC5-682JP,"￥204,430"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i5-14400F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI5G60YC25DNHB3,"￥234,800"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/水冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home YDS-KY7FW32146T,"￥324,980"
エイスース ASUS,ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 1TB/GeForce RTX 4070 SUPER/Windows 11 Home/エクストリームダークグレー G22CH-71470F112W,"￥469,800"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/水冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 2TB/Windows 11 Home YDS-KY7FW32246T,"￥339,540"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 64GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4070 SUPER/Windows 11 Home DGI7G7SYC45DNHB3,"￥344,800"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4070 SUPER/Windows 11 Home DGI7G7SYC25DNHB3,"￥324,800"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060 Ti/Windows 11 Home DGI7G6TYC25DNHB3,"￥289,800"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/水冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 1TB/Windows 11 Home YDS-KY7FW16146T,"￥316,150"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/ガレリア/Core i9-13900KF/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home ZR9K49-1100-YC31-307,"￥724,980"
マウスコンピューター mouse computer,G-Tune ゲーミングデスクトップパソコン/Core i7-14700F/メモリ 64GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060 Ti/Windows 11 Home DGI7G6TYC45DNHB3,"￥309,800"
MSI エムエスアイ,ゲーミングデスクトップPC/Core i7-14700F/GeForce RTX 4070 SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home/ホワイト INFINITES314NUE71841JP,"￥379,280"
デル DELL,ゲーミングデスクトップ/Alienware Aurora R16/Core i7-14700KF/NVIDIA GeForce RTX 4060 Ti/メモリ 16GB/SSD 1TB+HDD 1TB/Windows 11 Home/バサルトブラック DA85-DWLBC,"￥354,800"
エイスース ASUS,ゲーミングデスクトップパソコン/ROG G22CH/Core i9-14900KF/RTX 4070/メモリ 32GB/SSD 1TB/Windows 11 Home/エクストリームダークグレー G22CH-1490KF010W,"￥469,800"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home RR536T-1500-YC31-740,"￥247,980"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/RTX 3060Ti/メモリ 16GB/SSD 500GB/Windows 11 Home RR536T-1500-YC31-1,"￥269,980"
ガレリア GALLERIA,ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home XR748-1100-R31,"￥414,440"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/水冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 1TB/Windows 11 Home YDS-KY4FW16146T,"￥294,130"
マウスコンピューター mouse computer,ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home DGI7G70YC25CNHW3,"￥309,800"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home ZR7K47T-1100-YC31-1,"￥549,980"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Trident AS 14NUE7-680JP/Core i7-14700F/RTX 4070 SUPER/メモリ 16GB/SSD 1TB/Windows 11 Home TRIDENTAS-14NUE7-680JP,"￥393,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060 Ti/Windows 11 Home DGI7G6TYC25DNHW3,"￥289,800"
マウスコンピューター mouse computer,G-Tune ホワイトカラーゲーミングデスクトップパソコン/Core i7-14700F/メモリ 32GB/SSD 500GB （NVMe Gen4×4）/GeForce RTX 4060/Windows 11 Home DGI7G60YC25DNHW3,"￥264,800"
ガレリア GALLERIA,ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home ZR7K47T-1100-YC31-1335,"￥494,980"
MSI エムエスアイ,ゲーミングデスクトップパソコン/MAG Codex 6 14NUE7-065JP/Core i7-14700F/RTX 4070 SUPER/メモリ 16GB/SSD 1TB/Windows 11 Home MAGCODEX6-14NUE7-065JP,"￥305,800"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/空冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 2TB/Windows 11 Home YDS-KY4FA32246T,"￥298,410"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/水冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 2TB/Windows 11 Home YDS-KY4FW32246T,"￥317,510"
MSI エムエスアイ,ゲーミングデスクトップPC/Core i7-14700F/RTX 4070 SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home MAG Infinite S3 14NUE7-2081JP,"￥393,800"
MSI エムエスアイ,ゲーミングデスクトップPC/Core i7-14700F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home MAG Infinite S3 14NUC7-2084JP,"￥283,800"
MSI エムエスアイ,ゲーミングデスクトップパソコン/Core i5-14400F/RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home MAG Infinite S3 14NUC5-2069JP,"￥236,280"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/空冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home YDS-KY7FA32146T,"￥305,880"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/空冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 1TB/Windows 11 Home YDS-KY4FA16146T,"￥275,020"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/空冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 1TB/Windows 11 Home YDS-KY7FA16146T,"￥297,040"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/水冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 2TB/Windows 11 Home YDS-KY7FW16246T,"￥330,700"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/空冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 2TB/Windows 11 Home YDS-KY7FA16246T,"￥311,600"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/空冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home YDS-KY4FA32146T,"￥283,850"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/空冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 2TB/Windows 11 Home YDS-KY4FA16246T,"￥289,570"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i7-13700F/空冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 2TB/Windows 11 Home YDS-KY7FA32146T,"￥320,430"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/水冷CPUクーラー/RTX 4060 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home YDS-KY4FW32146T,"￥302,960"
ストーム STORM,ゲーミングデスクトップPC/STORM 鏡界シリーズ/Core i5-13400F/水冷CPUクーラー/RTX 4060 Ti/メモリ 16GB/SSD 2TB/Windows 11 Home YDS-KY4FW16246T,"￥308,680"
